region_name,competition_year,id,name,short_desc,long_desc,eligibility,video_url,created_at,updated_at,sponsors,entries
New South Wales,2021,247,ACTIVATED Public Spaces,"What makes a public space vibrant, walkable, and encourages people to dwell longer at different times of the day or night, and throughout the year? 
","### The Challenge:

This problem statement seeks to find solutions that support our **‘ACTIVATED’** public spaces approach. We are interested in understanding what makes a public space vibrant, walkable, and what encourages people to dwell longer in a given space. Also, in understanding the volume and movement of people in different spaces, particularly using walking (inclusive of wheelchairs or other mobility aids) as their primary travel mode. What does this mean for design or programming public spaces at different times of the day and night, and throughout the year? 

Broadly, activation can be described as, the level of human activity in public spaces including the number of people walking, the number of people spending time and the diversity of people present. Activation or liveliness in public spaces may, with appropriate pre-conditions, happen spontaneously and among people who may have little conscious regard for their physical surroundings. Conversely, other public spaces require invitations and enticements to attract a human dimension. How public spaces are programmed, designed, and managed, therefore, becomes of critical importance. 


### Background:

Quality green, open and public spaces are important to everyone. They are our free and publicly accessible parks, gardens and sports fields, walkable shady streets, libraries, museums and galleries, which form the heart of our communities. Our public spaces make life more welcoming and accessible. They delight and connect people. They support our health and well-being, environmental resilience and prosperous local economies. They’re at the heart of everyday life.

Public spaces are all places **publicly owned or of public use, accessible and enjoyable by all for free**. They include our **open spaces, public facilities (e.g. libraries, galleries, museums) and streets**. The quality of public space is a combination of its **physical form**, the **activities** that occur in the place and the **meaning** people associate with the place. 

The NSW Premier’s Priority Greener Public Spaces (the Priority) is to *increase the proportion of homes in urban areas within 10 minutes’ walk of quality green, open and public space by 10 percent by 2023*. To monitor the impact of the Priority we measure an increase in homes in urban areas that have improved access within 10 minutes’ walk (800m walking catchment) of a new or improved public space.  

To achieve the Priority, we are taking a “more, better, activated” approach, along with emphasising the resilience of public space as playing a key role in the “road to recovery” from recent disasters and the global COVID-19 pandemic. 

• MORE: identifying areas with lower access to public space, the Priority will target strategies that provide access to new quality public spaces in these areas
• BETTER: identifying areas with high access to public space, the Priority will target strategies that improve quality of public spaces in these areas 
• **ACTIVATED:** in all areas, the Priority will target strategies that increase activation 
• ROAD TO RECOVERY: Since 2019 we have also focused our work on the importance of public spaces in the resilience of communities to disasters such as bushfires, floods and the global COVID-19 pandemic. 

The Evaluation Tool for Public Space and Public Life, is the first resource in the new online Great Public Spaces Toolkit. It is a user-friendly resource that allows anyone to assess the quality of public spaces, its positive attributes, as well as areas for improvement. The NSW Public Spaces Charter is another key resource. The Charter, currently in draft form, can be used to guide planning, design, management and activation of public space. The Charter will be a resource for individuals, organisations and agencies responsible for public space.

### Additional Information:

For more information about the Priority, current grant programs, case studies, ideas and opportunities for different types of public spaces. 
https://www.dpie.nsw.gov.au/premiers-priorities/great-public-spaces

**Department of Planning, Industry and Environment data:** 

Our advice would be to think broadly and creatively about how DPIE’s data can be used. For these problem statements we don’t always have data that will provide the answers, and we use other forms of information, including reports and surveys when hard data is not available.

•	[Public Spaces location GIS layers](https://www.planningportal.nsw.gov.au/spatialviewer/#/find-a-property/address) on the ePlanning [Spatial Viewer](https://www.planningportal.nsw.gov.au/spatialviewer/#/find-a-property/address) – this dataset helps to understand the provision of public space in a given area. Click “Public Spaces” layers on in the legend on the Viewer to show the location of known open spaces and public facilities across NSW.
•	[ePlanning Data Portal](https://www.planningportal.nsw.gov.au/opendata/) – a one stop shop for a whole range of open data relevant to public spaces, including NSW Urban Vegetation Cover; Principal Planning Layers such as land zoning; Natural Hazard layers; Green Infrastructure layers including: NSW Heat Vulnerability Index; NSW Urban Heat Island and more. These datasets can be viewed alongside the Public Spaces layers on the [Spatial Viewer](https://www.planningportal.nsw.gov.au/spatialviewer/#/find-a-property/address) within the Portal.
•	[Government Property Index](https://www.planningportal.nsw.gov.au/development-assessment/government-property-index?linkId=118681870) – is a new resource that means you can now search and view NSW Government-owned land and property online. The index is available spatially as a layer via the [Spatial Viewer](https://www.planningportal.nsw.gov.au/spatialviewer/#/find-a-property/address). Information on government owned Crown Land is also available as layers on the Viewer. 
•	[Public Spaces Streets as Shared Spaces Engagement Report](https://www.dpie.nsw.gov.au/__data/assets/pdf_file/0006/348027/Public-Spaces-Streets-as-Shared-Spaces-Engagement-Report.pdf) – includes results of survey aimed to provide the NSW Government with insight into the changing uses of public spaces as a result of the COVID-19 pandemic.
•	[Draft NSW Public Spaces Charter](https://www.dpie.nsw.gov.au/__data/assets/pdf_file/0007/347740/Draft-NSW-Public-Spaces-Charter.pdf) – developed to support the planning, design, management and activation of public spaces in NSW. It identifies ten principles for quality public space, developed through evidence-based research and discussions with public space experts and community members.
•	[Great Public Spaces Toolkit](https://www.dpie.nsw.gov.au/premiers-priorities/great-public-spaces/festival-of-place/great-public-spaces-toolkit) – including the [Evaluation Tool for Public Space and Public Life](https://www.dpie.nsw.gov.au/premiers-priorities/great-public-spaces/festival-of-place/great-public-spaces-toolkit#evaluation-tool-for-public-space-and-public-life) can be used by anyone wanting to better understand a public space’s strengths or areas for improvement. The [Great Public Spaces Guide](https://www.dpie.nsw.gov.au/premiers-priorities/great-public-spaces/festival-of-place/great-public-spaces-toolkit#great-public-spaces-guide), introduces the meaning of place and the elements that contribute to creating a great public facility, open space or street.

**Other Government agency datasets that may be of relevance:**

The other advice we would provide is that, more, better and activated public space is a cross cutting issue for the NSW Government. We have found that we often utilise other agency’s open data sources when we are looking to understand need and value of public space. 

•	Spatial Services [NSW Point of Interest (POI)](https://data.nsw.gov.au/data/dataset/nsw-points-of-interest-poi) web service provides the identification and location of a feature, service or activity that people may want to see, know about or visit.
•	Office of Local Government [Time Series](https://www.olg.nsw.gov.au/public/about-councils/comparative-council-information/your-council-report/) datasets, including data on Population per hectare of open space.
•	NSW Health [HealthStats](http://www.healthstats.nsw.gov.au/Indicatorgroup/TopicIndicatorGroups), including on topics such as Physical Activity Levels.
•	Transport for NSW [Open data portal](https://opendata.transport.nsw.gov.au/)
•	NSW Bureau of Crime Statistics and Research [Crime Statistics](https://www.bocsar.nsw.gov.au/Pages/bocsar_crime_stats/bocsar_crime_stats.aspx) data.
•	ABS 2016 [Census products](https://www.abs.gov.au/census/find-census-data/more-products), including Mesh block counts on population and dwellings, and Socio-Economic Indexes for Areas (SEIFA). 
•	National Recovery and Resilience Agency disaster-related [datasets](https://data.gov.au/data/organization/nbra), including for the March 2021 floods and 2019-20 bushfires.
•	Greater Sydney Commission [Greater Sydney Green Grid](https://www.greater.sydney/metropolis-of-three-cities/sustainability/city-its-landscape/green-grid-links-parks-open-spaces) – The Green Grid connects communities to the landscape. It is a long-term vision for a network of high quality green areas. 
•	Greater Sydney Commission documents including the [Greater Sydney Region Plan](https://www.greater.sydney/metropolis-of-three-cities), [Women’s Safety Charter](https://www.greater.sydney/thought-leadership/womens-safety-charter)
•	[Public Libraries in New South Wales Directory](https://www.sl.nsw.gov.au/public-library-services/about-public-library-services/find-public-library-nsw)

**Presentation at the New South Wales Connections Event**

•	[Conversation with Vanessa Gordon (Director of Place from the Department of Planning, Industry and Environment)](https://youtu.be/UpKmHWfcQNc?t=612)

**Image credit:** Wagga Wagga Lost Lanes Festival 2021, Department of Planning, Industry and Environment
","",https://www.youtube.com/embed/eiHm2RDIDeE,2021-08-19 01:00:58 +1000,2021-08-20 15:36:09 +1000,"[""NSW Department of Planning, Industry and Environment""]",17
Tasmania,2021,282,Artificial Intelligence and Machine Learning for a Digital Twin,The City of Hobart is developing a Digital Twin that will contain high resolution photogrammetric data and allow integration with diverse datasets owned publicly or privately. We are keen to explore the use of Artificial Intelligence (AI) and Machine Learning within these datasets.,"The City of Hobart are keen to explore the use of AI and Machine Learning that involves any kind of innovative response to the representation of a city and its data; including Object Recognition, Image Classification, Semantic Segmentation and Instance Segmentation.

Consider the following:

• Smart analysis and representation of trees or other assets (based on photographic data and known geospatial locations)
• Identifying buildings and creating their 3D envelope
• Incorporating anonymised data from security camera footage (traffic counting, people counting, motion paths, hotspots etc.)
• Any other relevant innovations

### Additional Information:

**Additional links:**

• https://www.hobartcity.com.au/Home
• https://www.hobartcity.com.au/City-services/Geographic-information-data
• https://au.opencitiesplanner.bentley.com/cityofhobart/digitaltwin (see note below)

**Other relevant documents:**

• [Where Deep Learning Meets GIS](https://www.esri.com/about/newsroom/arcwatch/where-deep-learning-meets-gis/)
• [Integrated Deep Learning with ArcGIS using Python](https://www.techgig.com/webinar/Integrating-Deep-Learning-with-ArcGIS-using-Python-1464)
• [Connected Hobart: Smart City Action Plan](https://www.hobartcity.com.au/files/assets/public/strategies-and-plans/hcc4578-smart-cities-action-plan-a3-single_110919.pdf)
•  Hobart 2010 Public Spaces and Public Life - [01 Final Report - Introduction](https://www.hobartcity.com.au/files/assets/public/strategies-and-plans/gehl-report/01_final_report_-_introduction.pdf)
•  Hobart 2010 Public Spaces and Public Life - [02 Final Report - Analysis](https://www.hobartcity.com.au/files/assets/public/strategies-and-plans/gehl-report/02_final_report_-_analysis.pdf)
•  Hobart 2010 Public Spaces and Public Life - [03 Final Report - Recommendations](https://www.hobartcity.com.au/files/assets/public/strategies-and-plans/gehl-report/03_final_report_-_recommendations.pdf)
•  Hobart 2010 Public Spaces and Public Life - [04 Final Report - Public Life Data](https://www.hobartcity.com.au/files/assets/public/strategies-and-plans/gehl-report/04_final_report_-_public_life_data.pdf)

**Note:**

THE DIGITAL TWIN IS PART OF A PROOF OF CONCEPT PROJECT BEING
DEVELOPED BY CITY OF HOBART AND THERE ARE NO GUARANTEES OF
SPATIAL ACCURACIES.

DISCLAIMER:
THIS DATA IS CONFIDENTIAL AND IS NOT TO BE SUPPLIED TO ANY OTHER
PARTIES. THE DATA IS ONLY TO BE USED FOR THE REQUIRED 
PROJECT/PURPOSE IN AGREEMENT WITH THE CONTRACT OF ENGAGEMENT,
AND IN ACCORDANCE WITH ANY RELEVANT COH POLICIES.
THE DATA SUPPLIED IN THESE FILES IS NOT TO BE USED FOR DESIGN OR
CONSTRUCTION PURPOSES. THE DATA HAS BEEN ACQUIRED FROM VARIOUS
SOURCES AND THEREFORE IS RECORDED AT VARYING LEVELS OF RELIABILITY
AND THE INFORMATION CONTAINED IN THESE FILES MAY NOT BE COMPLETE.
THE HOBART CITY COUNCIL DOES NOT WARRANT THE ACCURACY OR
COMPLETENESS OF THE INFORMATION CONTAINED IN THESE FILES, AND THE
INFORMATION SHOULD BE VERIFIED BY A FULL SITE SURVEY PRIOR TO ANY
DEVELOPMENT OR CONSTRUCTION WORK BEING UNDERTAKEN. THE HOBART
CITY COUNCIL ACCEPTS NO RESPONSIBILITY FOR ANY CLAIMS FOR LOSS,
DAMAGE OR INJURY SUFFERED BY ANY PERSON OR ORGANISATION
RESULTING FROM THE USE OF THE DATA CONTAINED IN THESE FILES.

**Image credit:** City of Hobart.
",Use one or more datasets from CoH Open data portal and ensure the submission relates to Artificial Intelligence and Machine Learning for a CoH Digital Twin.,"",2021-08-20 17:10:41 +1000,2021-08-21 01:03:14 +1000,"[""City of Hobart""]",3
New Zealand,2021,275,Being More Sustainable: Travelling using the most sustainable route,"We all know the effect on climate change from CO2 emissions. How can we translate this into tangible action made by a citizen, that they know is making a collective impact?
","
Transportation is a high CO2 emissions source. How can you assist a citizen to travel across the city, using the most sustainable route?

Everyone is different and have varying constraints in their lives, eg. a family of four cannot scooter, a single traveller has more flexibility. We need to take this into account.

Through this challenge, the council wants to encourage “Active Citizenship” under the greater theme of “Conscious choices”. This will help facilitate the citizen to understand the total cost of activity. Vote with your travel habits!

We want you to build a solution that assists a citizen when deciding how to travel from one point to another in the most sustainable way.

### Additional Information: 

Below are examples of how you might wish to approach this challenge. Please use this as an example only and not as guidance.

**For example:**

Option 1: Drive from A to B, for vehicle type C = D CO2 tonnes and cost you $E, F hrs in time, needing G Trees planted to offset the trip

Option 2: Walk from A to Station B, Take bus C, Stop at Station D, grab a lime scooter to E = F CO2 tonnes, cost you $G, H hrs in time, needing I Trees planted to offset the trip

1. Provide an application that will ask the user for start and end locations in the city, provide them choices of transportation and display the impact of this choice in:

• CO2, Money, Time, Trees
• Researched assumptions for CO2 emissions by vehicle type

2. Provide a feature to the help citizen’s constraints: minimize CO2, cost, time, transport changes

3. Connect to a service that makes it easy to Buy, Plant a tree to offset the trip

4. Create a social feature out of Tree currency, compete against friends, reach different levels of trees planted / cost game levels towards zero CO2 for their family; example: https://www.forestapp.cc/

5. Let the citizen know the location of their trees planted

6. A feature that optimizes routes to take the next electric bus

","At least one team member must be able to attend and present challenge if selected at the Te Pae Technology Expo in Oct 2021 (at their own cost).
","",2021-08-20 14:54:20 +1000,2021-08-21 11:04:24 +1000,"[""Smart Christchurch "", ""UC Business School Te Kura Umanga"", ""Trimble""]",3
Tasmania,2021,257,Best Tasmanian commercial opportunity,"How can we use Tasmanian Data to create something that could be an economic success?
","Create any project that you believe could go on to have Commercial success. Projects must use Tasmanian Data in some form or another.
",Must use Tasmanian data.,"",2021-08-19 17:52:16 +1000,2021-08-20 15:41:50 +1000,"[""Tasmanian Government Department of Premier and Cabinet""]",5
New South Wales,2021,248,BETTER Public Spaces,"How do we help ensure everyone feels welcome and safe in public spaces (day and night) regardless of age, gender, ethnicity or identity?","### The Challenge:

This problem statement seeks to find solutions that support our **‘BETTER’** public spaces approach, specifically how we can ensure everyone feels welcome and safe in public spaces (day and night) regardless of age, gender, ethnicity or identity.   Not everyone in NSW can access and use public space in the same way. For example, research indicates that women are more likely to feel unwelcome and unsafe in public spaces than men, including when walking alone at night. 

As a part of the Places to Love program partnership between the Department and Penrith City Council, a Womens Night Walk was run in the Kingswood area. Seven key themes from the participants were identified to improve safety 1. Improve Lighting, 2. Create a seamless walking experience, 3. Make our open spaces a place to stay for the whole family, 4. Build on the sense of community, 5. Make our spaces visually attractive, 6. Green and breathable places, and 7. Address perceptions of safety. 

In 2020 the Department’s ‘Public spaces during COVID-19’ survey aimed to provide the NSW Government with insight into the changing uses of public spaces as a result of the COVID-19 pandemic. From 4,777 survey responses and online map comments, the following theme on safety in public spaces was a priority: Around 25% of comments were about safety in public spaces. The feedback suggests local communities have a good understanding of what their neighbourhoods need to be safe. This includes lower vehicle speed limits and other steps to make public spaces more inclusive and enjoyable for all.

### Background:

Quality green, open and public spaces are important to everyone. They are our free and publicly accessible parks, gardens and sports fields, walkable shady streets, libraries, museums and galleries, which form the heart of our communities. Our public spaces make life more welcoming and accessible. They delight and connect people. They support our health and well-being, environmental resilience and prosperous local economies. They’re at the heart of everyday life.

Public spaces are all places **publicly owned or of public use, accessible and enjoyable by all for free**. They include our **open spaces, public facilities (e.g. libraries, galleries, museums) and streets**. The quality of public space is a combination of its **physical form**, the **activities** that occur in the place and the **meaning** people associate with the place. 

The NSW Premier’s Priority Greener Public Spaces (the Priority) is to *increase the proportion of homes in urban areas within 10 minutes’ walk of quality green, open and public space by 10 percent by 2023*. To monitor the impact of the Priority we measure an increase in homes in urban areas that have improved access within 10 minutes’ walk (800m walking catchment) of a new or improved public space.  

To achieve the Priority, we are taking a “more, better, activated” approach, along with emphasising the resilience of public space as playing a key role in the “road to recovery” from recent disasters and the global COVID-19 pandemic. 

• MORE: identifying areas with lower access to public space, the Priority will target strategies that provide access to new quality public spaces in these areas
• **BETTER:** identifying areas with high access to public space, the Priority will target strategies that improve quality of public spaces in these areas 
• ACTIVATED: in all areas, the Priority will target strategies that increase activation 
• ROAD TO RECOVERY: Since 2019 we have also focused our work on the importance of public spaces in the resilience of communities to disasters such as bushfires, floods and the global COVID-19 pandemic. 

The Evaluation Tool for Public Space and Public Life, is the first resource in the new online Great Public Spaces Toolkit. It is a user-friendly resource that allows anyone to assess the quality of public spaces, its positive attributes, as well as areas for improvement. The NSW Public Spaces Charter is another key resource. The Charter, currently in draft form, can be used to guide planning, design, management and activation of public space. The Charter will be a resource for individuals, organisations and agencies responsible for public space.

### Additional Information:

On our webpage you will find more information about the Priority, along with current grant programs, case studies, ideas and opportunities for different types of public spaces - https://www.dpie.nsw.gov.au/premiers-priorities/great-public-spaces

**Department of Planning, Industry and Environment data:** 

Our advice would be to think broadly and creatively about how DPIE’s data can be used. For these problem statements we don’t always have data that will provide the answers, and we use other forms of information, including reports and surveys when hard data is not available.

•	[Public Spaces location GIS layers](https://www.planningportal.nsw.gov.au/spatialviewer/#/find-a-property/address) on the ePlanning [Spatial Viewer](https://www.planningportal.nsw.gov.au/spatialviewer/#/find-a-property/address) – this dataset helps to understand the provision of public space in a given area. Click “Public Spaces” layers on in the legend on the Viewer to show the location of known open spaces and public facilities across NSW.
•	[ePlanning Data Portal](https://www.planningportal.nsw.gov.au/opendata/) – a one stop shop for a whole range of open data relevant to public spaces, including NSW Urban Vegetation Cover; Principal Planning Layers such as land zoning; Natural Hazard layers; Green Infrastructure layers including: NSW Heat Vulnerability Index; NSW Urban Heat Island and more. These datasets can be viewed alongside the Public Spaces layers on the [Spatial Viewer](https://www.planningportal.nsw.gov.au/spatialviewer/#/find-a-property/address) within the Portal.
•	[Government Property Index](https://www.planningportal.nsw.gov.au/development-assessment/government-property-index?linkId=118681870) – is a new resource that means you can now search and view NSW Government-owned land and property online. The index is available spatially as a layer via the [Spatial Viewer](https://www.planningportal.nsw.gov.au/spatialviewer/#/find-a-property/address). Information on government owned Crown Land is also available as layers on the Viewer. 
•	[Public Spaces Streets as Shared Spaces Engagement Report](https://www.dpie.nsw.gov.au/__data/assets/pdf_file/0006/348027/Public-Spaces-Streets-as-Shared-Spaces-Engagement-Report.pdf) – includes results of survey aimed to provide the NSW Government with insight into the changing uses of public spaces as a result of the COVID-19 pandemic.
•	[Draft NSW Public Spaces Charter](https://www.dpie.nsw.gov.au/__data/assets/pdf_file/0007/347740/Draft-NSW-Public-Spaces-Charter.pdf) – developed to support the planning, design, management and activation of public spaces in NSW. It identifies ten principles for quality public space, developed through evidence-based research and discussions with public space experts and community members.
•	[Great Public Spaces Toolkit](https://www.dpie.nsw.gov.au/premiers-priorities/great-public-spaces/festival-of-place/great-public-spaces-toolkit) – including the [Evaluation Tool for Public Space and Public Life](https://www.dpie.nsw.gov.au/premiers-priorities/great-public-spaces/festival-of-place/great-public-spaces-toolkit#evaluation-tool-for-public-space-and-public-life) can be used by anyone wanting to better understand a public space’s strengths or areas for improvement. The [Great Public Spaces Guide](https://www.dpie.nsw.gov.au/premiers-priorities/great-public-spaces/festival-of-place/great-public-spaces-toolkit#great-public-spaces-guide), introduces the meaning of place and the elements that contribute to creating a great public facility, open space or street.

**Other Government agency datasets that may be of relevance:**

The other advice we would provide is that, more, better and activated public space is a cross cutting issue for the NSW Government. We have found that we often utilise other agency’s open data sources when we are looking to understand need and value of public space. 

•	Spatial Services [NSW Point of Interest (POI)](https://data.nsw.gov.au/data/dataset/nsw-points-of-interest-poi) web service provides the identification and location of a feature, service or activity that people may want to see, know about or visit.
•	Office of Local Government [Time Series](https://www.olg.nsw.gov.au/public/about-councils/comparative-council-information/your-council-report/) datasets, including data on Population per hectare of open space.
•	NSW Health [HealthStats](http://www.healthstats.nsw.gov.au/Indicatorgroup/TopicIndicatorGroups), including on topics such as Physical Activity Levels.
•	Transport for NSW [Open data portal](https://opendata.transport.nsw.gov.au/)
•	NSW Bureau of Crime Statistics and Research [Crime Statistics](https://www.bocsar.nsw.gov.au/Pages/bocsar_crime_stats/bocsar_crime_stats.aspx) data.
•	ABS 2016 [Census products](https://www.abs.gov.au/census/find-census-data/more-products), including Mesh block counts on population and dwellings, and Socio-Economic Indexes for Areas (SEIFA). 
•	National Recovery and Resilience Agency disaster-related [datasets](https://data.gov.au/data/organization/nbra), including for the March 2021 floods and 2019-20 bushfires.
•	Greater Sydney Commission [Greater Sydney Green Grid](https://www.greater.sydney/metropolis-of-three-cities/sustainability/city-its-landscape/green-grid-links-parks-open-spaces) – The Green Grid connects communities to the landscape. It is a long-term vision for a network of high quality green areas. 
•	Greater Sydney Commission documents including the [Greater Sydney Region Plan](https://www.greater.sydney/metropolis-of-three-cities), [Women’s Safety Charter](https://www.greater.sydney/thought-leadership/womens-safety-charter)
•	[Public Libraries in New South Wales Directory](https://www.sl.nsw.gov.au/public-library-services/about-public-library-services/find-public-library-nsw)
•	[Penrith City Councils Kingswood Live Work Play Grid](https://www.yoursaypenrith.com.au/project/liveworkplaykingswood) – Women’s Night walk including the summary of key findings report 

**Presentation at the New South Wales Connections Event**

•	[Conversation with Vanessa Gordon (Director of Place from the Department of Planning, Industry and Environment)](https://youtu.be/UpKmHWfcQNc?t=612)

**Image credit:** Burwood City Council library pop-up in the upgraded new laneway Unity Place, Department of Planning, Industry and Environment
","",https://www.youtube.com/embed/v5KvENR40kc,2021-08-19 01:08:20 +1000,2021-08-20 15:35:01 +1000,"[""NSW Department of Planning, Industry and Environment""]",14
Queensland,2021,267,Brisbane Olympics,"Queensland will host the 2032 Olympic Games in Brisbane.  Using Queensland open data, what can we do now to help the state prepare? ","Every four years, more than 11,000 athletes, from over 200 nations, compete in 33 different sports for medals and the title of the best in the world.  

The Brisbane games will be the 35th summer Olympics with the last Australian event held in Sydney in 2000.    

Preparing infrastructure, such as sporting venues, transportation and accommodation are all important.  

How can the visitor experience be improved?  

What can we do to ensure our athletes are prepared?  

### Additional Information:

**Additional links:**
• [data.qld.gov.au](https://www.data.qld.gov.au/)
• https://www.data.qld.gov.au/article/news-and-events/govhack-2021",Must use at least one dataset from data.qld.gov.au. ,"",2021-08-20 12:43:13 +1000,2021-08-20 12:46:57 +1000,"[""Queensland Government""]",7
South Australia,2021,269,Building Citizen’s Trust in this Digital World,"In order to access online services, citizens need to give their consent for their data to be used. How do you gain their trust that their data will be used appropriately? ","There has always been concerns around data governance and citizens having no visibility of what data is being collected from them, in which way and how it is being used. The terms and conditions might list these details, but it is not always the case that the citizens read (due to the length of it) or understand (due to the way it is written) it. This ties back to the trust that citizens have that the data is being used for bettering the systems and products.

In your solution, we would like you to consider who should have control of the citizen’s data – is it the citizens themselves or the Government or someone else?

How do we make what is collected visible to the citizen?

What technologies would you use, for example, blockchain or other technology?

### Additional Information:

**Job opportunity:**

• All finalists will have an opportunity to be interviewed for a job opportunity if interested.

**Additional links:**
• Here is a dataset that you may want to look at - [SA Government COVID SAfe Check-Ins dataset](https://hackerspace.govhack.org/data_sets/1081)

","","",2021-08-20 13:08:47 +1000,2021-08-20 13:08:47 +1000,"[""Pernix""]",7
Australia,2021,233,Create a solution to a customer need using the ABS Data API,"We are excited to provide innovators with machine to machine access to ABS Data and see what exciting customer solutions can be created. Here is a chance to draw in ABS Data and answer an important question through visualisation, mapping or even blending with other data sources. Create a solution to a customer need using data drawn from the ABS Data API.
","The ABS is improving the way we make our statistics available to inform Australians.  Since releasing the new ABS Website in September 2020, we have been focused on improving API access to data.  We are excited to provide innovators with machine to machine access to ABS Data and see what exciting customer solutions can be created. Here is a chance to draw in ABS Data and answer an important question through visualisation, mapping or even blending with other data sources.

**Video Explainer:** GovHack Digital Conference 2021: [Australia Bureau of Statistics - ABS Data API](https://www.youtube.com/watch?v=DZKWgOhRUVQ)","Teams are encouraged to use datasets from a variety of sources, but at least one must be drawn from the ABS Data API.",https://www.youtube.com/embed/DZKWgOhRUVQ,2021-08-18 23:29:43 +1000,2021-08-20 01:46:39 +1000,"[""Australian Bureau of Statistics""]",20
Queensland,2021,254,Deadly choices for Moreton Bay (QLD),"How can we support the development of social and cultural outcomes across the Moreton Bay Region?
","Using Open Data from a variety of sources, help us create social and cultural opportunities for our residents, including our First Nations people. Ideas and examples could include ready supply of fresh fruit and vegetables for socio-economic disadvantaged groups, through to art trails through to professional development and skills building.  All ideas welcome, and remember to focus on our region!

This is one of three Moreton Bay specific challenges put together by a consortium of business, education and government organisations, all passionate about our local region.  We will have a group of USC Moreton Bay students participating on campus at Petrie Mill alongside local innovators, and we encourage you to join with them in putting a spotlight on our region.

### Additional Information:

**Additional links:**
• https://www.moretonbay.qld.gov.au/Services/Business-Investment/REDS 
• https://datahub.moretonbay.qld.gov.au","Open to everyone, preference will be given to those providing solutions using at least one local Moreton Bay data set.","",2021-08-19 14:03:51 +1000,2021-08-20 01:02:44 +1000,"[""Moreton Bay Regional Council""]",5
Queensland,2021,265,Digital Economy ,What can we learn from open data that will help Queenslanders grow the digital economy during the COVID-19 recovery?,"Many Queenslanders, and citizens across the world, have been forced into a digital transformation while navigating the COVID-19 pandemic.  

Online services, virtual environments, data sharing and analysis have all developed significantly in recent times.  

What can we learn from this transition to uplift digital capability and improve digital services?

### Additional Information:

**Additional links:**

• [data.qld.gov.au](https://www.data.qld.gov.au/)
• https://www.data.qld.gov.au/article/news-and-events/govhack-2021
","Must use at least one dataset from data.qld.gov.au.  
","",2021-08-20 12:26:30 +1000,2021-08-20 12:48:36 +1000,"[""Queensland Government""]",3
