team_name,project_name,source_code_url,video_url,homepage_url,created_at,updated_at,identifier,member_count,data_sets,challenge_names
The Lone Llama,WaterCalc,https://github.com/TSP66/WaterCalc,https://youtu.be/waLpYmorqFQ,"",2021-08-22 16:55:53 +1000,2021-08-22 16:55:53 +1000,watercalc,1,"[""https://maps.thelist.tas.gov.au/listmap/app/list/map""]","[""The digital future of agriculture"", ""Best Tasmanian commercial opportunity"", ""Most outstanding benefit to the residents of Tasmania"", ""The best use of Tasmanian Spatial Data"", ""Water information without borders""]"
Seekareer,Seekareer,https://github.com/KaedynCui/Seekareer.git,https://www.youtube.com/watch?fbclid=IwAR16hevFrCCs2K6h6bm8TwniL2JJrD5dBsGjoJznPA-m1sUPAMjxTMa4ltc&v=dFWx0lJKRHg&feature=youtu.be,https://kaedyncui.github.io/Seekareer/Home.html,2021-08-22 16:52:59 +1000,2021-08-22 16:52:59 +1000,seekareer,4,"[""https://api.gov.au/service/715cdfd0-4742-402e-8729-086a7fd42a51"", ""https://www.abs.gov.au/statistics/labour"", ""https://data.gov.au/data/dataset/51705424-d531-4d81-b69d-23ed9f964930"", ""https://www.abs.gov.au/statistics/industry"", ""https://crisper-graphc.hub.arcgis.com/pages/dashboards""]","[""Most outstanding benefit to the residents of Tasmania"", ""Create a solution to a customer need using the ABS Data API"", ""Youth education and employment"", ""Exploring the National Skills Commission’s Australian Skills Classification"", ""Living in a post-pandemic world""]"
Crealent,TimeTraveler AR,https://drive.google.com/file/d/1roMfUk9MCMEiKzYpP8Po-TdfpqBl5WlI/view?usp=sharing,https://www.youtube.com/watch?v=oZfvmww7N2g,https://crealentheritage198360956.wordpress.com,2021-08-22 16:50:34 +1000,2021-08-22 16:50:34 +1000,timetraveler_ar,5,"[""https://archive.ellenmacarthurfoundation.org/circular-economy/what-is-the-circular-economy"", ""https://www.dpie.nsw.gov.au/__data/assets/pdf_file/0007/347740/Draft-NSW-Public-Spaces-Charter.pdf"", ""https://www.dpie.nsw.gov.au/__data/assets/pdf_file/0006/348027/Public-Spaces-Streets-as-Shared-Spaces-Engagement-Report.pdf"", ""https://data-1-hobartcc.opendata.arcgis.com/datasets/local-overlays-heritage-areas-2015/explore"", ""https://libraries.tas.gov.au/archive-heritage/Pages/default.aspx"", ""https://maps.thelist.tas.gov.au/listmap/app/list/map?layout-options=LAYER_LIST_OPEN&cpoint=147.43,-42.85,50000&srs=EPSG:4283&bmlayer=3&layers=122""]","[""Best Tasmanian commercial opportunity"", ""ACTIVATED Public Spaces"", ""Hack for a Circular Economy"", ""Artificial Intelligence and Machine Learning for a Digital Twin"", ""The best use of Tasmanian Heritage Data""]"
Petwitter,Pet Runner,https://github.com/cpunj/PetRunner-Gov_Hack-,https://youtu.be/xh0Bt5pzNK0,https://github.com/cpunj/PetRunner-Gov_Hack-/tree/main/GovHack_homepage,2021-08-22 16:37:24 +1000,2021-08-22 16:37:24 +1000,pet_runner,2,"[""http://crimetool.bocsar.nsw.gov.au/bocsar/"", ""https://www.planningportal.nsw.gov.au/spatialviewer/#/find-a-property/address"", ""https://www.thelist.tas.gov.au/app/content/data/geo-meta-data-record?detailRecordUID=79368b65-0975-4efb-8560-ddbc58dcbec8"", ""https://www.thelist.tas.gov.au/app/content/data/geo-meta-data-record?detailRecordUID=946f7b32-4376-4bde-b2fc-51f4db8b77ed"", ""https://data-1-hobartcc.opendata.arcgis.com/datasets/parks-playgrounds-2014/explore"", ""https://data-1-hobartcc.opendata.arcgis.com/datasets/dog-exercise-areas/explore"", ""https://www.thelist.tas.gov.au/app/content/data/geo-meta-data-record?detailRecordUID=ed2bc55a-6e61-4f9a-b292-4c0d0549ee59""]","[""BETTER Public Spaces"", ""The best use of Tasmanian Spatial Data"", ""Most outstanding benefit to the residents of Tasmania"", ""ACTIVATED Public Spaces""]"
The Frog Council,Frogly,https://github.com/splashback-dev/GovHack-2021,https://youtu.be/6oOv3lzUJvk,https://www.frogcouncil.com/,2021-08-22 16:30:50 +1000,2021-08-22 16:30:50 +1000,frogly,5,"[""https://www.dpie.nsw.gov.au/premiers-priorities/great-public-spaces/festival-of-place/great-public-spaces-toolkit"", ""https://data-melbournewater.opendata.arcgis.com/datasets/melbournewater::frog-census-records/about"", ""https://www.planningportal.nsw.gov.au/opendata/dataset/environment-planning-instrument-local-environmental-plan-land-zoning"", ""https://www.frogid.net.au/explore"", ""https://api.gov.au/service/715cdfd0-4742-402e-8729-086a7fd42a51""]","[""Create a solution to a customer need using the ABS Data API"", ""IoT insights for better regional agribusiness at scale"", ""ROAD TO RECOVERY Public Spaces"", ""MORE Public Spaces ""]"
The Trolley Problem,MyBus,https://drive.google.com/drive/folders/1SkfJm7fFq-5yRLisW3uxkDczvs5rnplA?usp=sharing,https://www.youtube.com/watch?v=l4_BOTpLb_Y,https://www.figma.com/proto/L5PkHQqCWE9JsHjBSIadaH/MyBus?node-id=466%3A410&scaling=scale-down&page-id=0%3A1&starting-point-node-id=466%3A410,2021-08-22 16:30:26 +1000,2021-08-22 16:30:26 +1000,mybus,6,"[""https://api.gov.au/service/715cdfd0-4742-402e-8729-086a7fd42a51"", ""https://www.metrotas.com.au/corporate/publications/annual-report/"", ""https://services.thelist.tas.gov.au/arcgis/rest/services/Public/Infrastructure/MapServer/18"", ""https://www.thelist.tas.gov.au/app/content/data/geo-meta-data-record?profileType=&groupName=&bboxNorth=&bboxWest=&bboxSouth=&bboxEast=&sc_tc_code=location&sc_tc_code=transportation&query=&_keywordCategory=-1&isTasmania=true&custodian=&detailRecordUID=7c0a9bee-c70b-4d19-ac53-8549ffd9e059&searchCriteriaURL=query%3D%26perPage%3D10%26sortBy%3DTitle%3AASC%26sc_tc_code%3Dlocation%26sc_tc_code%3Dtransportation""]","[""Reimagining Digital Government Services"", ""Best Tasmanian commercial opportunity"", ""The best use of Tasmanian Spatial Data"", ""Most outstanding benefit to the residents of Tasmania"", ""Create a solution to a customer need using the ABS Data API""]"
CE - TAS,CE-TAS,https://drive.google.com/file/d/19Qe0ddxbdPSC8Ji5THZ99Uy_VllYRif2/view?usp=sharing,https://www.canva.com/design/DAEnvaEZveU/Qpx2-s7cIzvnL23zmBeaHA/view?utm_content=DAEnvaEZveU&utm_campaign=designshare&utm_medium=link&utm_source=recording_view,https://www.canva.com/design/DAEnslXfrhg/cRdZA-MIF_8SjR3UAWIaHA/view?utm_content=DAEnslXfrhg&utm_campaign=designshare&utm_medium=link&utm_source=homepage_design_menu,2021-08-22 14:09:40 +1000,2021-08-22 14:09:40 +1000,ce_tas,1,"[""https://www.stategrowth.tas.gov.au/__data/assets/pdf_file/0006/278547/Export_by_Market_and_Product_-_2017-18_to_2019-20.pdf"", ""https://www.treasury.tas.gov.au/Documents/International-Merchandise-Exports.pdf"", ""https://www.stategrowth.tas.gov.au/__data/assets/pdf_file/0007/157327/Manufacturing_in_Tasmania.pdf"", ""https://epa.tas.gov.au/regulation/waste-management/waste-data""]","[""Best Tasmanian commercial opportunity""]"
CE,CE,https://drive.google.com/drive/folders/1dAqm6FdF-_PkHAVS8ccG9fYmp-PnpFY6?usp=sharing,https://www.canva.com/design/DAEnu51VfyY/FWkGx0cOMAWDQlN3NBn8Ow/view?utm_content=DAEnu51VfyY&utm_campaign=designshare&utm_medium=link&utm_source=recording_view,https://www.canva.com/design/DAEnslXfrhg/cRdZA-MIF_8SjR3UAWIaHA/view?utm_content=DAEnslXfrhg&utm_campaign=designshare&utm_medium=link&utm_source=viewer,2021-08-22 13:55:19 +1000,2021-08-22 13:55:19 +1000,ce,1,"[""https://epa.tas.gov.au/regulation/waste-management/waste-data"", ""https://www.environment.gov.au/protection/waste/national-waste-reports/2020"", ""https://data.gov.au/data/dataset/national-waste-management-database/resource/69ddcc9c-4148-450e-b0eb-39e383d15eb4""]","[""Hack for a Circular Economy""]"
Tassie Hack,Local Experts,https://github.com/fat-potato/Local-Expert/tree/master,https://youtu.be/jPN5p7WQZVc,http://bestasmania.tech/,2021-08-22 13:17:46 +1000,2021-08-22 13:17:46 +1000,local_experts,2,"[""https://data-1-hobartcc.opendata.arcgis.com/datasets/recreational-tracks-and-trails-open-data/explore?location=-42.899259%2C147.272600%2C11.83"", ""https://libraries.tas.gov.au/archive-heritage/Pages/default.aspx"", ""https://data-1-hobartcc.opendata.arcgis.com/datasets/local-overlays-heritage-areas-2015""]","[""Most outstanding benefit to the residents of Tasmania"", ""Best Tasmanian commercial opportunity"", ""The best use of Tasmanian Heritage Data""]"
The Lone Alpaca,SuperCattle,https://github.com/TSP66/SuperCattle,https://www.youtube.com/watch?v=IrYjC-uegiU,"",2021-08-21 22:05:02 +1000,2021-08-21 22:05:02 +1000,supercattle,1,"[""https://www.agriculture.gov.au/abares/research-topics/surveys/livestock#physical-characteristics""]","[""The digital future of agriculture"", ""IoT insights for better regional agribusiness at scale""]"
Atomic Northerners,ATOMIC,https://github.com/JelloJellyton/V2AN,https://youtu.be/oRuPuQOpM1M,http://128.199.109.245:8090/,2021-08-22 16:51:02 +1000,2021-08-22 16:51:02 +1000,atomic,5,"[""https://heritage.tas.gov.au/Documents/THROnline_Jan2021.pdf""]","[""The best use of Tasmanian Heritage Data"", ""Building Citizen’s Trust in this Digital World"", ""Most outstanding benefit to the residents of Tasmania""]"
